project,releaseId,methodPath,loc,cyclomaticComplexity,cognitiveComplexity,statements,nestingDepth,parameterCount,codeSmells,bugginess
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/transitionToReadOnlyMode,37,0,0,0,3,0,0,yes
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/start,30,0,0,0,1,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntry,15,0,0,0,3,4,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/cleanDir,16,0,0,0,3,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntryInternal,8,0,0,0,0,4,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/recoveryAddEntry,12,0,0,0,2,4,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getMyId,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/newZookeeper,15,0,0,0,0,2,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedgerDirsManager,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/triggerBookieShutdown,16,0,0,0,1,1,0,yes
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie,17,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/run,12,0,0,0,1,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getInstanceId,11,0,0,0,1,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/isRunning,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/checkEnvironment,73,0,0,0,4,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readEntry,5,0,0,0,0,2,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/main,18,0,0,0,1,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/unregisterJMX,20,0,0,0,2,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntryByLedgerId,5,0,0,0,0,2,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/fenceLedger,20,0,0,0,1,2,0,yes
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/instantiateZookeeperClient,7,0,0,0,1,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readJournal,51,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedgerForEntry,15,0,0,0,1,2,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getCurrentDirectories,7,0,0,0,1,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/registerBookie,32,0,0,0,3,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/format,40,0,0,0,4,3,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/shutdown,26,0,0,0,3,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getCurrentDirectory,3,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/shutdown,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/isDone,3,0,0,0,0,0,0,yes
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/cancel,3,0,0,0,0,1,0,yes
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/isCancelled,3,0,0,0,0,0,0,yes
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/setDone,5,0,0,0,0,1,0,yes
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/get,4,0,0,0,0,0,0,yes
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/get,4,0,0,0,0,2,0,yes
